codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
0011027030,2025-11-02,4.3,0.7000000000000001,0.8,4.2,28.800000000000004,41.9
0011110010,2025-11-02,0.0,12.5,32.0,35.1,161.0,285.1
0011110110,2025-11-02,0.0,5.1,6.0,6.2,49.70000000000001,85.80000000000001
0011115020,2025-11-02,0.0,2.0,4.0,5.8,179.20000000000002,285.8
0011115040,2025-11-02,0.0,10.4,12.4,25.6,168.5,261.0
0011117010,2025-11-02,0.0,3.7,14.100000000000001,14.700000000000001,88.50000000000001,152.09999999999997
0011117050,2025-11-02,0.0,6.4,18.6,24.400000000000002,233.6,300.4
0016015110,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0016015120,2025-11-02,0.0,0.0,0.0,0.0,2.0,57.300000000000004
0016017020,2025-11-02,0.0,0.0,0.0,0.1,9.499999999999998,77.20000000000002
0016027120,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0016027280,2025-11-02,0.0,0.0,6.2,6.8,53.6,408.6
0016027300,2025-11-02,0.0,0.0,0.0,1.0,70.6,202.6
0016035030,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0016055120,2025-11-02,0.0,0.0,0.2,0.30000000000000004,25.7,55.900000000000006
0021015020,2025-11-02,0.2,0.0,0.9,1.2000000000000002,32.199999999999996,68.3
0021015040,2025-11-02,0.4,0.0,0.5,4.300000000000001,28.300000000000004,46.4
0021015050,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021015070,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021017030,2025-11-02,0.0,0.0,0.0,0.0,36.800000000000004,77.99999999999999
0021017040,2025-11-02,0.0,0.2,2.6000000000000005,2.6000000000000005,25.600000000000005,58.20000000000001
0021025030,2025-11-02,0.0,0.0,0.0,0.0,0.0,10.7
0021035040,2025-11-02,0.0,0.1,0.9,1.0,11.8,48.1
0021037020,2025-11-02,6.0,0.0,0.0,0.6000000000000001,25.200000000000003,60.8
0021045010,2025-11-02,0.0,0.0,0.0,0.0,20.5,73.3
0021050060,2025-11-02,0.0,0.0,1.8,2.0,49.300000000000004,104.00000000000001
0021057050,2025-11-02,0.0,0.0,23.6,23.6,47.400000000000006,91.4
0021057060,2025-11-02,0.0,0.0,0.0,0.0,57.40000000000001,158.0
0021065040,2025-11-02,0.0,0.6,1.0,1.0,29.3,61.49999999999999
0021085030,2025-11-02,0.0,0.0,0.0,0.0,133.6,271.79999999999995
0021095010,2025-11-02,0.0,0.0,1.2000000000000002,1.2000000000000002,55.5,81.5
0021097070,2025-11-02,0.0,0.0,0.0,0.0,82.0,132.0
0021097120,2025-11-02,0.0,0.0,0.4,0.4,25.200000000000003,137.8
0021105030,2025-11-02,2.8000000000000003,0.0,0.0,0.0,21.0,63.6
0021115100,2025-11-02,0.0,0.0,0.0,1.0,33.4,67.30000000000001
0021115170,2025-11-02,0.1,0.0,0.1,0.2,5.700000000000001,18.800000000000004
0021117100,2025-11-02,0.0,0.0,0.0,0.0,9.3,37.7
0021125010,2025-11-02,0.0,0.0,2.9,2.9,145.6,237.3
0021127030,2025-11-02,0.0,0.0,6.800000000000001,6.800000000000001,110.6,191.20000000000002
0021130050,2025-11-02,0.0,0.0,0.0,0.0,45.4,93.69999999999999
0021135020,2025-11-02,2.8,0.30000000000000004,1.0,1.0,166.60000000000002,206.20000000000002
0021137050,2025-11-02,0.8,0.0,0.0,0.0,25.2,161.0
0021140120,2025-11-02,0.0,0.0,0.0,0.0,40.9,91.7
0021147010,2025-11-02,1.6,0.7,0.7,0.7,27.099999999999998,127.5
0021147030,2025-11-02,0.0,0.0,0.0,0.0,10.0,22.999999999999996
0021167060,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021167080,2025-11-02,0.1,1.1,49.1,49.1,95.5,200.9
0021185080,2025-11-02,0.2,0.1,0.30000000000000004,0.4,18.300000000000004,75.8
0021185090,2025-11-02,0.4,0.30000000000000004,0.4,0.4,161.5,368.7
0021187030,2025-11-02,0.9,0.0,1.2000000000000002,1.2000000000000002,72.9,245.4
0021195120,2025-11-02,0.0,0.0,0.0,0.6000000000000001,101.6,254.79999999999998
0021195170,2025-11-02,0.0,0.1,0.1,5.8,49.8,116.3
0021195190,2025-11-02,0.0,0.0,0.0,0.1,26.4,67.10000000000001
0021197010,2025-11-02,1.7000000000000002,1.0999999999999999,1.0999999999999999,2.7,47.800000000000004,58.8
0021197030,2025-11-02,0.0,0.0,0.0,0.2,94.69999999999999,308.4
0021201200,2025-11-02,0.5,0.0,0.30000000000000004,0.30000000000000004,27.4,67.2
0021201580,2025-11-02,0.0,0.0,0.9,0.9,11.200000000000003,64.9
0021201980,2025-11-02,0.0,0.0,0.0,0.0,31.5,66.69999999999999
0021202180,2025-11-02,0.0,0.0,0.0,0.0,11.100000000000001,49.800000000000004
0021202190,2025-11-02,0.0,0.0,0.7000000000000001,0.7000000000000001,11.6,38.20000000000001
0021202220,2025-11-02,0.30000000000000004,0.0,0.0,0.0,23.0,51.00000000000001
0021202230,2025-11-02,0.0,0.0,2.0,2.0,14.200000000000001,60.5
0021202240,2025-11-02,0.1,0.0,0.0,0.0,11.4,50.20000000000001
0021202250,2025-11-02,0.0,0.0,0.2,0.2,10.9,52.6
0021205012,2025-11-02,0.0,0.0,0.0,0.0,61.7,124.79999999999998
0021205420,2025-11-02,0.0,0.0,0.1,4.8999999999999995,61.2,102.20000000000002
0021205660,2025-11-02,0.0,0.0,0.0,0.0,53.99999999999999,184.39999999999998
0021205670,2025-11-02,0.0,0.0,0.2,0.2,75.0,112.60000000000001
0021205700,2025-11-02,0.0,0.2,0.2,0.2,37.0,78.00000000000001
0021205710,2025-11-02,0.0,0.0,0.0,0.0,56.1,136.7
0021205791,2025-11-02,0.0,0.0,0.0,0.476,76.899,260.227
0021205910,2025-11-02,0.0,0.0,0.0,0.0,64.6,101.2
0021205940,2025-11-02,0.0,0.0,0.0,0.4,35.199999999999996,63.000000000000014
0021205970,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021206280,2025-11-02,0.0,0.0,0.0,0.2,24.900000000000002,44.900000000000006
0021206560,2025-11-02,0.0,0.0,0.0,0.2,18.5,72.3
0021206600,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021206780,2025-11-02,0.0,0.0,0.0,0.0,18.3,66.80000000000001
0021206810,2025-11-02,0.0,0.0,0.0,0.30000000000000004,8.4,55.6
0021206890,2025-11-02,0.0,0.0,0.1,0.1,10.2,64.0
0021206900,2025-11-02,0.0,0.1,4.7,4.7,24.000000000000004,114.5
0021206920,2025-11-02,0.2,0.1,0.1,0.1,24.4,62.800000000000004
0021206930,2025-11-02,0.0,0.2,0.30000000000000004,0.30000000000000004,71.0,113.9
0021206950,2025-11-02,2.4,0.0,0.0,0.0,47.099999999999994,120.5
0021206980,2025-11-02,0.8,0.1,0.30000000000000004,0.30000000000000004,68.7,108.80000000000003
0021208480,2025-11-02,0.0,0.0,0.0,0.0,16.2,60.800000000000004
0021209920,2025-11-02,0.1,0.0,0.0,0.0,17.2,43.7
0021215160,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021215190,2025-11-02,0.1,8.5,8.6,8.6,91.1,198.10000000000002
0021217180,2025-11-02,0.0,16.0,16.0,16.0,141.5,352.0
0021227010,2025-11-02,0.0,2.2,4.2,4.2,232.60000000000002,422.00000000000006
0021235030,2025-11-02,0.0,0.8999999999999999,1.7999999999999998,1.7999999999999998,68.6,152.39999999999998
0021237010,2025-11-02,0.0,0.2,3.6,3.6,143.4,257.8
0021245140,2025-11-02,0.0,5.4,5.800000000000001,5.800000000000001,147.0,263.4
0021255090,2025-11-02,0.0,0.0,4.8,4.8,130.39999999999998,289.90000000000003
0021255160,2025-11-02,0.0,0.0,0.0,0.0,4.4,6.2
0021255170,2025-11-02,0.0,5.4,9.4,10.600000000000001,11.999999999999998,49.5
0021257090,2025-11-02,0.0,0.2,0.6000000000000001,2.4000000000000004,78.0,125.0
0021257100,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0021257120,2025-11-02,0.0,29.4,29.7,29.7,34.2,132.0
0022017020,2025-11-02,4.4,13.4,61.2,61.2,271.6,370.00000000000006
0022020020,2025-11-02,1.2,0.1,2.2,2.2,101.0,157.79999999999998
0022045010,2025-11-02,0.0,0.6000000000000001,30.400000000000002,30.400000000000002,182.8,309.6
0022055020,2025-11-02,0.0,8.3,12.0,12.0,159.20000000000002,314.3
0022057010,2025-11-02,0.0,0.0,3.0,3.1,230.9,305.0
0022065040,2025-11-02,5.1,2.9000000000000004,12.5,20.7,236.8,446.69999999999993
0022070030,2025-11-02,0.0,0.1,0.1,0.1,69.60000000000001,187.4
0022075050,2025-11-02,2.6,0.4,1.6,2.8,83.50000000000001,186.0
0022077030,2025-11-02,3.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,69.2,150.4
0022077050,2025-11-02,0.0,2.8000000000000003,10.4,10.4,184.2,384.2
0023025040,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0023035030,2025-11-02,5.5,0.0,76.9,76.9,166.10000000000002,381.29999999999995
0023037010,2025-11-02,0.0,0.0,0.0,0.0,0.4,0.4
0023057140,2025-11-02,0.1,0.0,4.1,4.1,12.2,18.900000000000002
0023065110,2025-11-02,0.2,0.0,74.6,75.6,234.59999999999997,445.99999999999994
0023065120,2025-11-02,0.0,0.1,0.1,0.9,71.9,137.2
0023065180,2025-11-02,0.0,0.4,32.2,149.2,253.7,370.1
0023065190,2025-11-02,0.0,1.2,26.2,26.2,162.79999999999998,308.0
0023067040,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0023067050,2025-11-02,0.0,3.5,24.599999999999998,25.2,153.7,287.4
0023067060,2025-11-02,0.0,0.2,17.799999999999997,17.799999999999997,97.79999999999998,151.4
0023067070,2025-11-02,0.0,0.0,0.30000000000000004,0.30000000000000004,19.3,38.8
0023067080,2025-11-02,1.6,0.0,8.8,17.4,145.39999999999998,456.19999999999993
0023085080,2025-11-02,0.0,0.0,0.0,7.0,163.4,372.0
0023085160,2025-11-02,1.0,0.0,42.6,43.2,166.79999999999998,305.0
0023085220,2025-11-02,1.6,3.2,18.0,29.6,360.4,614.8
0023085260,2025-11-02,4.5,1.9000000000000001,5.2,7.5,70.9,158.2
0023085270,2025-11-02,5.6000000000000005,2.4000000000000004,12.8,14.4,340.4000000000001,530.8000000000001
0023087150,2025-11-02,3.2,3.2,6.800000000000001,11.200000000000001,73.60000000000001,159.2
0023087160,2025-11-02,0.0,0.0,0.1,3.1,79.19999999999999,158.80000000000004
0023087190,2025-11-02,4.0,1.4,15.0,21.0,103.99999999999999,262.6
0023087210,2025-11-02,0.0,0.0,0.1,0.1,0.7999999999999999,101.30000000000001
0023087670,2025-11-02,1.5,1.1,5.5,7.7,64.4,176.40000000000003
0023097030,2025-11-02,0.0,0.0,5.5,16.2,116.5,232.60000000000002
0023105070,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0023125080,2025-11-02,0.0,0.0,34.4,40.4,264.00000000000006,437.6
0023125100,2025-11-02,0.0,0.0,1.2000000000000002,1.2000000000000002,57.400000000000006,150.60000000000002
0023125140,2025-11-02,0.0,0.0,0.0,0.0,0.0,49.4
0023125170,2025-11-02,0.0,1.2,2.6,4.1,35.800000000000004,74.39999999999999
0023127020,2025-11-02,0.0,0.0,28.099999999999998,34.0,124.3,262.0
0023127050,2025-11-02,0.0,0.0,38.199999999999996,51.0,144.1,309.99999999999994
0023127060,2025-11-02,0.0,0.0,22.6,86.80000000000001,298.59999999999997,451.79999999999995
0023145501,2025-11-02,9.2,0.5,0.5,5.0,106.20000000000002,274.7
0023147020,2025-11-02,0.0,0.0,69.6,191.2,375.2,649.6999999999998
0023155030,2025-11-02,0.30000000000000004,0.5,21.3,86.5,210.1,524.2
0023175020,2025-11-02,0.0,0.0,2.0,26.2,181.8,303.6
0023180070,2025-11-02,0.0,0.0,2.4,23.999999999999996,299.59999999999997,399.2
0023190130,2025-11-02,0.0,0.0,0.2,23.0,120.0,163.60000000000002
0023190380,2025-11-02,0.2,0.1,0.1,2.4,127.3,194.9
0023190700,2025-11-02,0.0,0.0,4.6,15.0,111.20000000000002,179.8
0023195110,2025-11-02,0.0,0.0,0.2,0.2,54.1,91.5
0023195200,2025-11-02,0.0,0.0,4.6000000000000005,8.8,101.80000000000003,166.8
0023195240,2025-11-02,5.3,0.0,3.7,14.100000000000001,42.60000000000001,104.6
0023195502,2025-11-02,0.0,0.0,0.5,17.6,323.59999999999997,410.80000000000007
0023197690,2025-11-02,0.0,0.0,1.5,7.8,43.50000000000001,94.4
0023205020,2025-11-02,0.0,0.0,15.200000000000001,20.6,249.60000000000002,435.00000000000006
0024015110,2025-11-02,0.5,0.0,0.0,0.0,23.9,71.5
0024015300,2025-11-02,0.0,0.0,0.0,0.0,3.2,3.2
0024015380,2025-11-02,0.2,1.0,1.0,1.0,1.0,1.0
0024015509,2025-11-02,0.1,0.1,5.999999999999999,8.399999999999999,75.7,185.29999999999998
0024015510,2025-11-02,0.0,8.4,12.7,18.1,134.5,250.2
0024015511,2025-11-02,0.0,1.3,11.000000000000002,12.900000000000002,109.4,249.70000000000005
0024015514,2025-11-02,0.0,1.5,40.3,43.4,238.70000000000002,423.29999999999995
0024015515,2025-11-02,0.0,0.0,9.0,10.4,152.49999999999997,332.90000000000003
0024015517,2025-11-02,0.0,26.9,34.0,34.8,176.8,280.7
0024015518,2025-11-02,0.0,0.1,3.1,3.1,84.4,130.40000000000003
0024015519,2025-11-02,0.0,0.0,16.7,16.9,166.20000000000002,322.09999999999997
0024017590,2025-11-02,14.399999999999999,0.0,8.200000000000001,8.4,164.4,323.00000000000006
0024017600,2025-11-02,0.2,0.0,16.0,20.6,203.40000000000003,364.4
0024017640,2025-11-02,0.0,3.2,4.4,7.0,110.2,170.8
0024017707,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0024017740,2025-11-02,10.2,0.0,2.6,8.2,52.4,116.2
0024025090,2025-11-02,0.2,0.0,4.9,7.0,154.5,286.2
0024025502,2025-11-02,0.5,1.4000000000000001,19.5,26.6,270.8,505.3999999999999
0024025503,2025-11-02,0.0,0.0,9.8,42.900000000000006,92.9,130.8
0024025504,2025-11-02,0.0,0.0,26.599999999999998,26.9,174.5,305.20000000000005
0024025505,2025-11-02,0.2,0.0,5.8999999999999995,8.399999999999999,147.4,283.0
0024027070,2025-11-02,0.0,0.6,2.8000000000000003,14.8,343.40000000000003,540.5999999999999
0024030140,2025-11-02,0.0,0.0,0.0,0.0,10.8,36.4
0024030680,2025-11-02,0.8,0.0,1.8,8.8,82.20000000000002,127.40000000000002
0024030950,2025-11-02,0.0,21.2,21.8,23.2,243.19999999999996,344.2
0024035250,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.0
0024035340,2025-11-02,0.0,0.0,3.0,4.2,68.80000000000001,94.10000000000001
0024035360,2025-11-02,0.0,0.0,0.8,0.8,11.2,55.5
0024035390,2025-11-02,2.3000000000000003,0.0,6.2,9.3,96.1,143.60000000000002
0024035410,2025-11-02,0.0,0.0,0.9,0.9,18.6,28.0
0024035430,2025-11-02,0.0,0.0,3.1,3.5,26.4,60.900000000000006
0024035502,2025-11-02,0.0,0.0,0.4,23.7,80.0,146.39999999999998
0024035503,2025-11-02,0.0,0.0,3.3000000000000003,3.3000000000000003,8.6,22.400000000000002
0024035505,2025-11-02,0.0,0.0,0.8,1.1,23.5,67.0
0024035506,2025-11-02,2.7,0.0,13.2,46.89999999999999,182.10000000000002,182.10000000000002
0024035507,2025-11-02,0.0,0.0,1.0,1.0,21.099999999999998,71.9
0024035508,2025-11-02,0.1,0.2,1.0,1.2,91.60000000000001,124.7
0024035509,2025-11-02,0.0,0.0,18.0,19.0,96.0,178.7
0024035510,2025-11-02,0.0,0.0,3.0,3.1,16.6,37.900000000000006
0024037030,2025-11-02,0.0,0.2,0.2,0.4,43.8,90.4
0024037080,2025-11-02,0.0,0.0,0.0,0.0,6.2,14.600000000000001
0024037190,2025-11-02,0.0,0.0,6.4,6.4,57.0,115.60000000000001
0024037290,2025-11-02,0.0,0.0,2.8000000000000003,2.8000000000000003,31.200000000000003,46.2
0024055080,2025-11-02,0.0,0.0,0.0,0.0,0.0,0.2
0024055503,2025-11-02,0.0,1.4,1.4,9.8,53.1,128.8
